,priority_pollutant_type,registration_number_of_the_contaminated_site_in_the_register,location_of_the_contaminated_site,administrative_region,longitude,latitude,land_category_before_pollution,сontaminated_site_area_hectares,the_level_of_oil_pollution_of_soils_and_lands_mg_kg,level_of_oil_products_in_bottom_sediments_of_water_mg_kg_and_on_surface_waters_mg_cubic_dm,date_of_last_spill
53,нефть,ЛУК-ЛНГ-2018-3,т.вр. Кп-9-ДНС-2,Нижневартовский,75.48,61.386944444444445,"земли промышленности, лесного фонда",0.427,неопределялась,-,2018-09-17 00:00:00
54,Вода подтоварная,ЛУК-ЛНГ-2020-1,т.вр.ДНС-1 - БКНС-17 (р-н КП-48),Нижневартовский,75.28738888888888,61.316833333333335,"земли промышленности, лесного фонда",0.239,неопределялась,-,—
55,нефть,ЛУК-ЛНГ-2020-3,к.20-т.вр.(З№64) район-КП-20,Нижневартовский,75.47536666666667,61.36571666666667,земли промышленности,0.01,неопределялась,-,2020-03-05 00:00:00
57,нефть,ЛУК-ЛНГ-2018-8,Т.вр.к.942 - т.вр.к.772,Сургутский,74.77014166666666,61.41876944444444,"земли промышленности, лесного фонда",0.2,неопределялась,-,2018-10-27 00:00:00
59,нефть,ЛУК-2017-21,т.вр. ДНС№13 - ДНС-№2,Нижневартовский,75.47391666666667,61.42830555555555,"земли промышленности, лесного фонда",4.124,неопределялась,-,2019-12-11 00:00:00
61,газовый конденсат,ЛУК-ЛНГ-2020-4,Покачевский КСП – ЛГПЗ ,Нижневартовский,75.15189444444445,61.60978333333333,"земли промышленности, лесного фонда",0.025,неопределялась,-,2020-12-08 00:00:00
67,нефть,ЛУК-2018-18,ДНС-6-НК-23,Кондинский,65.14177500000001,60.499183333333335,земли лесного фонда,0.046,***,-,2018-07-09 00:00:00
68,нефтепродукты,ЛУК-2019-4,Район факельной чаши ДНС-6 Зап. Толум,Кондинский,65.13430000000001,60.50290277777778,земли лесного фонда,0.0506,-,-,2019-05-17 00:00:00
70,нефть,ЛУК-2018-20,н/пр АГЗУ-28б - т.врезки,Советский,64.04031111111111,60.894725,земли лесного фонда,0.0086,***,-,2018-03-13 00:00:00
71,нефть,ЛУК-2018-24,н/пр от АГЗУ-4 до УП-5,Советский,64.12018888888888,60.99151944444444,земли лесного фонда,0.0527,***,-,2018-06-15 00:00:00
