,priority_pollutant_type,registration_number_of_the_contaminated_site_in_the_register,location_of_the_contaminated_site,administrative_region,longitude,latitude,land_category_before_pollution,сontaminated_site_area_hectares,the_level_of_oil_pollution_of_soils_and_lands_mg_kg,level_of_oil_products_in_bottom_sediments_of_water_mg_kg_and_on_surface_waters_mg_cubic_dm,date_of_last_spill
3952,подтоварная вода,РН-ЮНГ-ПРЗ-2020-4,т.вр.4-т.вр.5,Нефтеюганский,70.81305555555555,60.87,земли лесного фонда ,0.0116,не учитывается,вне акватоий,2020-03-30 00:00:00
3953,подтоварная вода,РН-ЮНГ-ПРЗ-2020-5,т.вр.35-т.вр.36,Ханты-Мансийский,70.845,60.98111111111111,земли промышленности; земли лесного фонда ,0.705,не учитывается,вне акватоий,2020-05-09 00:00:00
3954,ВНЭ,РН-ЮНГ-ПРЗ-2020-6,уз.ДНС-ВС - уз.1,Нефтеюганский,70.87444444444444,60.959722222222226,земли лесного фонда ,0.0017,не учитывается,вне акватоий,2020-05-19 00:00:00
3955,подтоварная вода,РН-ЮНГ-ПРЗ-2020-7,т.24-т.17,Ханты-Мансийский,70.72166666666666,60.907222222222224,земли лесного фонда ,0.0007,не учитывается,вне акватоий,2020-05-21 00:00:00
3956,ВНЭ,РН-ЮНГ-ПРЗ-2020-8,т.вр.5-к.145,Нефтеюганский,70.81694444444445,60.87083333333334,земли лесного фонда ,0.3516,не учитывается,вне акватоий,2020-06-09 00:00:00
3957,ВНЭ,РН-ЮНГ-ПРЗ-2020-9,т.вр.5-к.145,Нефтеюганский,70.81777777777778,60.870555555555555,земли лесного фонда ,0.1139,не учитывается,вне акватоий,2020-08-22 00:00:00
3958,ВНЭ,РН-ЮНГ-ПРЗ-2020-10,к.102-т.25,Ханты-Мансийский,70.7375,60.92361111111111,земли промышленности; земли лесного фонда ,0.3704,не учитывается,вне акватоий,2020-07-21 00:00:00
3959,ВНЭ,РН-ЮНГ-ПРЗ-2020-11,к.102-т.25,Ханты-Мансийский,70.7375,60.92361111111111,земли промышленности; земли лесного фонда ,0.115,не учитывается,вне акватоий,2020-08-21 00:00:00
3960,подтоварная вода,РН-ЮНГ-ПРЗ-2020-12,2250 м от КНС-16 в сторону т.4,Ханты-Мансийский,70.73,60.96611111111111,земли промышленности; земли лесного фонда ,0.0827,не учитывается,вне акватоий,2020-06-25 00:00:00
3961,подтоварная вода,РН-ЮНГ-ПРЗ-2020-13,не указано,Нефтеюганский,70.94888888888889,61.03,земли лесного фонда ,0.0006,не учитывается,вне акватоий,2020-07-06 00:00:00
3962,подтоварная вода,РН-ЮНГ-ПРЗ-2020-14,2842м от т.21 в сторону т.18,Нефтеюганский,70.77972222222222,60.89972222222222,земли лесного фонда ,0.0026,не учитывается,вне акватоий,2020-07-16 00:00:00
3963,подтоварная вода,РН-ЮНГ-ПРЗ-2020-15,50 м от т.вр.33 в сторону к.32,Ханты-Мансийский,70.82416666666666,61.001666666666665,земли промышленности; земли лесного фонда; земли запаса ,0.0061,не учитывается,вне акватоий,2020-07-23 00:00:00
3964,ВНЭ,РН-ЮНГ-ПРЗ-2020-16,10 м от к.50 в сторону т.15,Ханты-Мансийский,70.70222222222222,60.952222222222225,земли промышленности; земли лесного фонда; земли запаса ,0.123,не учитывается,вне акватоий,2020-07-23 00:00:00
3965,подтоварная вода,РН-ЮНГ-ПРЗ-2020-17,3м м от т.вр.30 в сторону к.36,Ханты-Мансийский,70.81083333333333,60.97166666666667,земли лесного фонда ,0.0003,не учитывается,вне акватоий,2020-07-27 00:00:00
3966,подтоварная вода,РН-ЮНГ-ПРЗ-2020-18,3560 м от т.8 в сторону КНС-18,Нефтеюганский,70.815,60.870555555555555,земли лесного фонда ,0.5263,не учитывается,вне акватоий,2020-08-18 00:00:00
3967,ВНЭ,РН-ЮНГ-ПРЗ-2020-19,30 м от к.29 в сторону т.вр.37,Ханты-Мансийский,70.78333333333333,61.00527777777778,земли промышленности; земли лесного фонда; земли запаса ,0.1984,не учитывается,вне акватоий,2020-08-26 00:00:00
3968,подтоварная вода,РН-ЮНГ-ПРЗ-2020-20,т.вр.47-к.200,Ханты-Мансийский,70.72361111111111,60.882777777777775,земли лесного фонда ,0.0486,не учитывается,вне акватоий,2020-09-03 00:00:00
3969,газовый конденсат,РН-ЮНГ-ПРЗ-2020-21,ДНС-2Пз-ЦППН-6,Нефтеюганский,70.87138888888889,60.96416666666667,земли лесного фонда ,0.0606,не учитывается,вне акватоий,2020-09-06 00:00:00
3970,ВНЭ,РН-ЮНГ-ПРЗ-2020-22,к.112-т.30,Ханты-Мансийский,70.65277777777779,60.925555555555555,земли лесного фонда ,0.1055,не учитывается,вне акватоий,2020-09-09 00:00:00
3971,ВНЭ,РН-ЮНГ-ПРЗ-2020-23,уз.2-т.47*,Нефтеюганский,70.87416666666665,60.962500000000006,земли лесного фонда ,0.0903,не учитывается,вне акватоий,2020-10-11 00:00:00
3972,подтоварная вода,РН-ЮНГ-ПРЗ-2020-24,КНС-18-т.3б,Нефтеюганский,70.78388888888888,60.823055555555555,земли лесного фонда ,0.0005,не учитывается,вне акватоий,2020-11-05 00:00:00
3973,подтоварная вода,РН-ЮНГ-ПРЗ-2020-25,т.25-к.99,Ханты-Мансийский,70.70472222222223,60.93444444444444,земли лесного фонда ,0.0616,не учитывается,вне акватоий,2020-11-14 00:00:00
3974,ВНЭ,РН-ЮНГ-ПРЗ-2020-26,к.242 – т.вр.к.241,Нефтеюганский,70.78305555555555,60.809999999999995,земли лесного фонда ,0.045,не учитывается,вне акватоий,2020-12-10 00:00:00
3975,ВНЭ,РН-ЮНГ-ПРЗ-2020-27,т.11-т.15,Ханты-Мансийский,70.70472222222223,60.95472222222222,земли лесного фонда ,0.128,не учитывается,вне акватоий,2020-09-07 00:00:00
3976,ВНЭ,РН-ЮНГ-ПРЗ-2020-28,р-н узла задвижек т.вр к. 3095 - куст 3094,Ханты-Мансийский,70.67916666666667,60.82416666666667,земли лесного фонда ,0.017,не учитывается,вне акватоий,нет данных
3977,нефтяная эмульсия,РН-ЮНГ-ПРЗ-2020-29,т.вр.13-к.118,Нефтеюганский,70.82388888888889,60.91416666666667,земли промышленности; земли лесного фонда ,0.1703,не учитывается,вне акватоий,2020-03-10 00:00:00
3978,ВНЭ,РН-ЮНГ-ПРЗ-2020-30,т.вр.33-т.вр.34,Ханты-Мансийский,70.82944444444443,60.99666666666667,земли лесного фонда ,0.0354,не учитывается,вне акватоий,2020-09-02 00:00:00
3979,ВНЭ,РН-ЮНГ-ПРЗ-2020-31,т.вр.33-т.вр.34,Ханты-Мансийский,70.82944444444443,60.99666666666667,земли лесного фонда ,0.0045,не учитывается,вне акватоий,2020-05-24 00:00:00
3981,ВНЭ,РН-ЮНГ-2013-2241,ДНС З/С - т.1,Нефтеюганский,71.54498,60.86023,земли лесного фонда,0.25,не учитывается,вне акватоий,данных нет
3982,ВНЭ,РН-ЮНГ-2013-2243,т.1 - т.2,Нефтеюганский,71.45676,60.86615,земли лесного фонда,3.1,не учитывается,вне акватоий,2001-06-15 00:00:00
3983,ВНЭ,РН-ЮНГ-2013-2244,ДНС З/С - т.1,Нефтеюганский,71.36032,60.87787,земли лесного фонда,0.66,не учитывается,вне акватоий,2001-05-14 00:00:00
3984,ВНЭ,РН-ЮНГ-2013-2245,т.14-т.3,Нефтеюганский,71.21365,60.72917,земли лесного фонда,0.02,не учитывается,вне акватоий,2006-08-03 00:00:00
3985,ВНЭ,РН-ЮНГ-2013-2249,к.32-т.16,Нефтеюганский,71.25835,60.74488,земли лесного фонда,0.03,не учитывается,вне акватоий,1997-06-01 00:00:00
3986,ВНЭ,РН-ЮНГ-2013-2250,к.32-т.16,Нефтеюганский,71.25993,60.74628,земли лесного фонда,0.07,не учитывается,вне акватоий,1997-06-01 00:00:00
3987,ВНЭ,РН-ЮНГ-2013-2251,т.15-т.16,Нефтеюганский,71.27064,60.74764,земли лесного фонда,0.19,не учитывается,вне акватоий,2000-03-01 00:00:00
3988,ВНЭ,РН-ЮНГ-2013-2252,т.15-т.16,Нефтеюганский,71.26977,60.74808,земли лесного фонда,0.49,не учитывается,вне акватоий,2000-03-01 00:00:00
3989,ВНЭ,РН-ЮНГ-2013-2253,т.3-т.6,Нефтеюганский,71.21233,60.74112,земли лесного фонда,0.45,не учитывается,вне акватоий,2005-09-09 00:00:00
3990,ВНЭ,РН-ЮНГ-2013-2254,т.1 - ДНС Лп,Нефтеюганский,71.21692,60.73906,земли лесного фонда,0.27,не учитывается,вне акватоий,2008-08-07 00:00:00
3991,ВНЭ,РН-ЮНГ-2013-2255,т.1 - ДНС Лп,Нефтеюганский,71.21773,60.7388,земли лесного фонда,0.67,не учитывается,вне акватоий,2008-08-07 00:00:00
3992,ВНЭ,РН-ЮНГ-2013-2257,т.14-т.3,Нефтеюганский,71.20994,60.73055,земли лесного фонда,0.024,не учитывается,вне акватоий,2006-08-03 00:00:00
3993,ВНЭ,РН-ЮНГ-2013-2258,т.14-т.3,Нефтеюганский,71.21073,60.73027,земли лесного фонда,0.003,не учитывается,вне акватоий,2006-08-03 00:00:00
3994,ВНЭ,РН-ЮНГ-2013-2259,т.14-т.3,Нефтеюганский,71.21609,60.72867,земли лесного фонда,0.08,не учитывается,вне акватоий,2006-08-03 00:00:00
3995,ВНЭ,РН-ЮНГ-2013-2260,к.38-т.10,Нефтеюганский,71.21997,60.7289,земли лесного фонда,0.031,не учитывается,вне акватоий,2011-07-29 00:00:00
3996,ВНЭ,РН-ЮНГ-2013-2261,к.38-т.10,Нефтеюганский,71.22195,60.72834,земли лесного фонда,0.08,не учитывается,вне акватоий,2008-10-02 00:00:00
3997,ВНЭ,РН-ЮНГ-2013-2262,т.8 - т.2,Нефтеюганский,71.22706,60.72827,земли лесного фонда,0.33,не учитывается,вне акватоий,2005-09-25 00:00:00
3998,ВНЭ,РН-ЮНГ-2013-2263,т.8 - т.9,Нефтеюганский,71.22891,60.72793,земли лесного фонда,0.019,не учитывается,вне акватоий,2005-04-29 00:00:00
3999,ВНЭ,РН-ЮНГ-2013-2264,т.8 - т.9,Нефтеюганский,71.23589,60.72757,земли лесного фонда,0.013,не учитывается,вне акватоий,2005-04-04 00:00:00
4000,ВНЭ,РН-ЮНГ-2013-2266,т.8 - т.9,Нефтеюганский,71.2606,60.72496,земли лесного фонда,0.12,не учитывается,вне акватоий,1998-08-11 00:00:00
4001,ВНЭ,РН-ЮНГ-2013-2268,к.40 - т.8,Нефтеюганский,71.27329,60.72405,земли лесного фонда,0.074,не учитывается,вне акватоий,2005-11-14 00:00:00
4002,ВНЭ,РН-ЮНГ-2013-2269,к.33-т.15,Нефтеюганский,71.29075,60.74387,земли лесного фонда,0.16,не учитывается,вне акватоий,2011-08-11 00:00:00
4003,ВНЭ,РН-ЮНГ-2013-2271,ДНС З/С - т.1,Нефтеюганский,71.42252,60.86958,земли лесного фонда,0.015,не учитывается,вне акватоий,2001-05-14 00:00:00
4004,ВНЭ,РН-ЮНГ-2013-2272,ДНС З/С - т.1,Нефтеюганский,71.57604,60.86328,земли лесного фонда,1.73,не учитывается,вне акватоий,данных нет
4005,подтоварная вода,РН-ЮНГ-2013-2273,к.23- т.11,Нефтеюганский,71.19295,60.75775,земли лесного фонда,0.91,не учитывается,вне акватоий,2006-09-26 00:00:00
4006,подтоварная вода,РН-ЮНГ-2013-2274,т.12-т.11 (930м от т.12),Нефтеюганский,71.216,60.7588,земли лесного фонда,0.0164,не учитывается,вне акватоий,2012-01-11 00:00:00
4007,ВНЭ,РН-ЮНГ-2013-2277,"ДНС «ЛП» - ДНС-3С (4,5км от ДНС ""ЛП"")",Нефтеюганский,71.2364,60.7736,земли лесного фонда,0.2289,не учитывается,вне акватоий,2012-07-11 00:00:00
4008,подтоварная вода,РН-ЮНГ-2013-2278,т.вр.12-т.11 (200м от т.12),Нефтеюганский,71.2269,60.7581,земли лесного фонда,0.0076,не учитывается,вне акватоий,2012-08-24 00:00:00
4009,подтоварная вода,РН-ЮНГ-2013-2279,т.12 – т.11 (200м от т.12),Нефтеюганский,71.2263,60.7581,земли лесного фонда,0.0099,не учитывается,вне акватоий,2012-10-21 00:00:00
4010,подтоварная вода,РН-ЮНГ-2013-2280,т.16 - к.26 (1930м от т.16),Нефтеюганский,71.2767,60.7548,земли лесного фонда,0.0029,не учитывается,вне акватоий,2012-11-19 00:00:00
4011,подтоварная вода,РН-ЮНГ-2013-2281,т.12-к.25 (1090м от т.12),Нефтеюганский,71.2413,60.759,земли лесного фонда,0.0078,не учитывается,вне акватоий,2012-12-06 00:00:00
4012,подтоварная вода,РН-ЮНГ-2013-2284,т.13-к.28 (250м от т.13),Нефтеюганский,71.17237,60.74148,земли лесного фонда,0.0179,не учитывается,вне акватоий,2013-01-21 00:00:00
4013,ВНЭ,РН-ЮНГ-2013-2285,к.30-т.14,Нефтеюганский,71.2083,60.7414,земли лесного фонда,0.1107,не учитывается,вне акватоий,2013-03-20 00:00:00
4014,подтоварная вода,РН-ЮНГ-2013-2288,т.3-т.1,Нефтеюганский,71.21713,60.73835,земли лесного фонда,0.0062,не учитывается,вне акватоий,2013-05-11 00:00:00
4015,подтоварная вода,РН-ЮНГ-2013-2291,т.12(вр.в  к.25) - т.11(вр.к.24),Нефтеюганский,71.218794,60.757608,земли лесного фонда,0.0071,не учитывается,вне акватоий,2013-07-04 00:00:00
4016,подтоварная вода,РН-ЮНГ-2013-2301,т.3(вр.к.36) - т.14(вр. к.30),Нефтеюганский,71.20552,60.74171,земли лесного фонда,0.0056,не учитывается,вне акватоий,2013-10-01 00:00:00
4017,нефтяная эмульсия,РН-ЮНГ-2014-650,к.26-т.15 (500м от к.26 в сторону т.15),Нефтеюганский,71.27833333333334,60.754444444444445,земли лесного фонда,0.0097,не учитывается,вне акватоий,2014-04-11 00:00:00
4018,подтоварная вода,РН-ЮНГ-2014-659,т.1-т.10 (600м. от т.1 в сторону т.10 ),Нефтеюганский,71.21138888888889,60.730000000000004,земли лесного фонда,0.0368,не учитывается,вне акватоий,2014-07-21 00:00:00
4019,подтоварная вода,РН-ЮНГ-2014-660,т.17-к.31 (110м. от т.17 в сторону к.31 ),Нефтеюганский,71.2375,60.74527777777778,земли лесного фонда,0.0227,не учитывается,вне акватоий,2014-07-21 00:00:00
4020,нефтяная эмульсия,РН-ЮНГ-2014-664,к.31-т.17 (100м от к .31 в сторону т.17),Нефтеюганский,71.23722222222223,60.745,земли лесного фонда,0.0632,не учитывается,вне акватоий,2014-09-19 00:00:00
4021,подтоварная вода,РН-ЮНГ-2014-665,т.12-к.25 (1000м от т.12  в торону к.25),Нефтеюганский,71.24694444444445,60.759166666666665,земли лесного фонда,0.0044,не учитывается,вне акватоий,2014-11-17 00:00:00
4022,нефтяная эмульсия,РН-ЮНГ-2014-666,к.28-т.13 (500м от к.28 в сторону т.13),Нефтеюганский,71.17666666666668,60.74111111111111,земли лесного фонда,0.0723,не учитывается,вне акватоий,2014-11-20 00:00:00
4023,подтоварная вода,РН-ЮНГ-2015-716,т.12 - т.13,Нефтеюганский,71.36083333333333,60.87638888888889,земли лесного фонда,0.0031,не учитывается,вне акватоий,24.03.2015 в 14:45
4024,подтоварная вода,РН-ЮНГ-2015-719,т.14(вр.в к.28) - к.30,Нефтеюганский,71.2063888888889,60.74166666666667,земли лесного фонда,0.023,не учитывается,вне акватоий,23.04.2015 в 09:10
4025,нефтяная эмульсия,РН-ЮНГ-2015-721,т.8(вр.к.49) - т.9(вр. к.39),Нефтеюганский,71.26166666666667,60.724444444444444,земли лесного фонда,0.0365,не учитывается,вне акватоий,14.05.2015 в 09:20
4026,подтоварная вода,РН-ЮНГ-2015-724,т.12(вр.к.25) - к.25,Нефтеюганский,71.24666666666667,60.759166666666665,земли лесного фонда,0.0067,не учитывается,вне акватоий,02.06.2015 в 11:25
4027,подтоварная вода,РН-ЮНГ-2015-727,т.12(вр.в к.25) - т.11(вр.к.24),Нефтеюганский,71.22,60.757222222222225,земли лесного фонда,0.0031,не учитывается,вне акватоий,24.07.2015 в 15:45
4028,подтоварная вода,РН-ЮНГ-2015-729,т.12(вр.в к.25) - т.11(вр.к.24),Нефтеюганский,71.22027777777778,60.75694444444444,земли лесного фонда,0.0253,не учитывается,вне акватоий,01.08.2015 в 14:10
4029,подтоварная вода,РН-ЮНГ-2015-730,т.12(вр.к.25) - к.25,Нефтеюганский,71.24722222222222,60.759166666666665,земли промышленности,0.0138,не учитывается,вне акватоий,18.08.2015 в 10:45
4030,подтоварная вода,РН-ЮНГ-2015-734,т.8(вр.в к.40) - к.49,Нефтеюганский,71.2761111111111,60.72277777777778,земли лесного фонда,0.0057,не учитывается,вне акватоий,30.11.2015 в 10:30
4031,нефтяная эмульсия,РН-ЮНГ-2014-648,к.25-т.12 (500м от к.25 в сторону т.12),Нефтеюганский,71.245,60.75861111111111,земли лесного фонда,1.2281,не учитывается,вне акватоий,2014-02-14 00:00:00
4032,подтоварная вода,РН-ЮНГ-САЛЛМ-2016-3,т.16-к.26,Нефтеюганский,71.26138888888889,60.74583333333334,земли лесного фонда ,0.0079,не учитывается,вне акватоий,2016-02-15 00:00:00
4033,подтоварная вода,РН-ЮНГ-САЛЛМ-2016-6,т.14-т.13,Нефтеюганский,71.20277777777778,60.74111111111111,земли лесного фонда ,0.0107,не учитывается,вне акватоий,2016-04-14 00:00:00
4034,ВНЭ,РН-ЮНГ-САЛЛМ-2016-9,к.49-т.8,Нефтеюганский,71.28999999999999,60.72166666666667,земли лесного фонда ,0.0183,не учитывается,вне акватоий,2016-06-17 00:00:00
4035,подтоварная вода,РН-ЮНГ-САЛЛМ-2016-11,к.40-к.33,Нефтеюганский,71.28527777777778,60.733333333333334,земли лесного фонда ,0.0142,не учитывается,вне акватоий,2016-07-02 00:00:00
4036,подтоварная вода,РН-ЮНГ-САЛЛМ-2016-12,т.11-к.23,Нефтеюганский,71.19416666666667,60.7575,земли лесного фонда ,0.0184,не учитывается,вне акватоий,2016-07-15 00:00:00
4037,подтоварная вода,РН-ЮНГ-САЛЛМ-2016-13,т.14-т.13,Нефтеюганский,71.20444444444445,60.74111111111111,земли лесного фонда ,0.0165,не учитывается,вне акватоий,2016-08-02 00:00:00
4038,ВНЭ,РН-ЮНГ-САЛЛМ-2016-14,к.29-т.13,Нефтеюганский,71.17888888888889,60.74166666666667,земли промышленности; земли лесного фонда ,0.3893,не учитывается,вне акватоий,2016-08-07 00:00:00
4039,подтоварная вода,РН-ЮНГ-САЛЛМ-2016-15,т.3-т.14,Нефтеюганский,71.20777777777778,60.74111111111111,земли лесного фонда ,0.0256,не учитывается,вне акватоий,2016-08-20 00:00:00
4040,подтоварная вода,РН-ЮНГ-САЛЛМ-2016-16,т.4-т.17,Нефтеюганский,71.2286111111111,60.74722222222222,земли лесного фонда ,0.0013,не учитывается,вне акватоий,2016-09-02 00:00:00
4041,ВНЭ,РН-ЮНГ-САЛЛМ-2016-17,к.49-т.8,Нефтеюганский,71.27444444444444,60.723055555555554,земли промышленности; земли лесного фонда ,0.1463,не учитывается,вне акватоий,2016-09-12 00:00:00
4042,подтоварная вода,РН-ЮНГ-САЛЛМ-2016-19,т.16-к.26,Нефтеюганский,71.27805555555555,60.75472222222222,земли лесного фонда ,0.0204,не учитывается,вне акватоий,2016-09-23 00:00:00
4043,подтоварная вода,РН-ЮНГ-САЛЛМ-2016-21,т.11-к.23,Нефтеюганский,71.19416666666667,60.757222222222225,земли лесного фонда ,0.0319,не учитывается,вне акватоий,2016-10-24 00:00:00
4044,подтоварная вода,РН-ЮНГ-САЛЛМ-2016-22,т.10-т.9,Нефтеюганский,71.24805555555555,60.72555555555556,земли лесного фонда ,0.0104,не учитывается,вне акватоий,2016-10-26 00:00:00
4045,ВНЭ,РН-ЮНГ-САЛЛМ-2016-24,т.12-т.4,Нефтеюганский,71.2286111111111,60.748333333333335,земли лесного фонда ,0.2017,не учитывается,вне акватоий,2016-12-01 00:00:00
4046,ВНЭ,РН-ЮНГ-САЛЛМ-2016-26,к.39-т.9,Нефтеюганский,71.25055555555555,60.72916666666667,земли промышленности; земли лесного фонда ,0.2546,не учитывается,вне акватоий,16.12.2016             13.11.2019         21.11.2019
4047,подтоварная вода,РН-ЮНГ-САЛЛМ-2016-27,т.17 – к.31,Нефтеюганский,71.2375,60.745555555555555,земли лесного фонда ,0.0153,не учитывается,вне акватоий,2016-12-31 00:00:00
4048,ВНЭ,РН-ЮНГ-САЛЛМ-2017-2,к.49 - т.8(вр. к.40),Нефтеюганский,71.29944444444445,60.723055555555554,земли промышленности; земли лесного фонда ,0.6077,не учитывается,вне акватоий,2018-05-11 09:40:00
4049,подтоварная вода,РН-ЮНГ-САЛЛМ-2017-3,т.4(вр.к.25) - т.12(вр. к.25),Нефтеюганский,71.22805555555556,60.74722222222222,земли лесного фонда ,0.0064,не учитывается,вне акватоий,14.01.2017
4050,ВНЭ,РН-ЮНГ-САЛЛМ-2017-6,к.49 - т.8(вр. к.40),Нефтеюганский,71.29444444444444,60.722500000000004,земли лесного фонда ,0.1479,не учитывается,вне акватоий,2018-04-18 09:55:00
4051,ВНЭ,РН-ЮНГ-САЛЛМ-2017-7,к.49 - т.8(вр. к.40),Нефтеюганский,71.29083333333332,60.721944444444446,земли лесного фонда ,0.0233,не учитывается,вне акватоий,03.02.2017
4052,ВНЭ,РН-ЮНГ-САЛЛМ-2017-8,к.31 - т.17(вр.в к.26),Нефтеюганский,71.23694444444445,60.745,земли промышленности; земли лесного фонда ,0.0138,не учитывается,вне акватоий,17.02.2017
4053,ВНЭ,РН-ЮНГ-САЛЛМ-2017-9,к.31 - т.17(вр.в к.26),Нефтеюганский,71.2375,60.7425,земли промышленности; земли лесного фонда ,0.2689,не учитывается,вне акватоий,13.03.2017
4054,ВНЭ,РН-ЮНГ-САЛЛМ-2017-10,т.12(вр.к.23) - т.4(вр. к.26),Нефтеюганский,71.22972222222222,60.75138888888889,земли лесного фонда ,0.1019,не учитывается,вне акватоий,07.04.2017
4055,газовая смесь,РН-ЮНГ-САЛЛМ-2017-11,ДНС Западно-Салымская - ЦППН5,Нефтеюганский,71.36,60.87638888888889,"земли лесного фонда, земли промышленности ",0.0556,не учитывается,вне акватоий,20.04.2017
4056,подтоварная вода,РН-ЮНГ-САЛЛМ-2017-12,т.17(вр.в к.26) - к.31,Нефтеюганский,71.2375,60.745555555555555,земли лесного фонда ,0.0142,не учитывается,вне акватоий,22.04.2017
4057,подтоварная вода,РН-ЮНГ-САЛЛМ-2017-15,т.11(вр.в к.25) - к.23,Нефтеюганский,71.19416666666667,60.757222222222225,земли лесного фонда ,0.0004,не учитывается,вне акватоий,05.06.2017
4058,ВНЭ,РН-ЮНГ-САЛЛМ-2017-18,т.17 - т.4,Нефтеюганский,71.2375,60.74583333333334,земли лесного фонда ,0.4,не учитывается,вне акватоий,27.07.2017
4059,подтоварная вода,РН-ЮНГ-САЛЛМ-2017-19,т.16(вр.в к.26) - к.32,Нефтеюганский,71.2611111111111,60.74583333333334,земли промышленности; земли лесного фонда ,0.0768,не учитывается,вне акватоий,11.08.2017                 22.02.2019
4060,подтоварная вода,РН-ЮНГ-САЛЛМ-2017-26,т.8 - к.49,Нефтеюганский,71.27527777777777,60.723055555555554,земли лесного фонда ,0.0044,не учитывается,вне акватоий,20.11.2017
4061,подтоварная вода,РН-ЮНГ-САЛЛМ-2017-27,т.7(вр.к.37) - к.36,Нефтеюганский,71.1975,60.719722222222224,"земли лесного фонда, земли промышленности ",0.1574,не учитывается,вне акватоий,09.12.2017
4062,подтоварная вода,РН-ЮНГ-САЛЛМ-2017-28,т.7(вр.к.37) - к.36,Нефтеюганский,71.17722222222223,60.725833333333334,земли лесного фонда ,0.3619,не учитывается,вне акватоий,15.12.2017
4063,газовый конденсат,РН-ЮНГ-ЗПСАЛ-2016-2,ДНС-3/С-ЦППН-5(ПГ-1),Нефтеюганский,71.51416666666667,60.859722222222224,земли лесного фонда ,0.5282,не учитывается,вне акватоий,27.07.2016             08.09.2016        07.05.2019
4064,ВНЭ,РН-ЮНГ-ЗПСАЛ-2018-1,т.9-т.10,Нефтеюганский,71.23694444444445,60.72694444444445,земли лесного фонда ,0.00835811,не учитывается,вне акватоий,12.01.18 (14:40)
4065,подтоварная вода,РН-ЮНГ-ЗПСАЛ-2018-2,т.28-БГ КНС11,Нефтеюганский,71.20277777777778,60.74111111111111,земли лесного фонда ,0.8044,не учитывается,вне акватоий,29.01.18 (08:30)
4066,ВНЭ,РН-ЮНГ-ЗПСАЛ-2018-3,к.25 - т.12,Нефтеюганский,71.24444444444444,60.75888888888889,земли лесного фонда ,0.0219202,не учитывается,вне акватоий,17.03.2018 14:10
4067,подтоварная вода,РН-ЮНГ-ЗПСАЛ-2018-5,т.14 - т.13,Нефтеюганский,71.19222222222223,60.740833333333335,земли лесного фонда ,0.010320560000000001,не учитывается,вне акватоий,10.04.2018 14:10
4068,подтоварная вода,РН-ЮНГ-ЗПСАЛ-2018-7,т.вр.13 - КНС-17,Нефтеюганский,71.22694444444444,60.74611111111111,земли лесного фонда ,0.019432730000000002,не учитывается,вне акватоий,18.04.2018 14:15
4069,подтоварная вода,РН-ЮНГ-ЗПСАЛ-2018-8,т.3 - т.1,Нефтеюганский,71.20805555555556,60.73111111111111,земли лесного фонда ,0.01802111,не учитывается,вне акватоий,08.05.2018 08:35
4070,ВНЭ,РН-ЮНГ-ЗПСАЛ-2018-10,т.8 - т.9,Нефтеюганский,71.2675,60.72361111111111,земли лесного фонда ,0.027160700000000003,не учитывается,вне акватоий,03.07.2018 11:05
4071,подтоварная вода,РН-ЮНГ-ЗПСАЛ-2018-11,т.9 - т.8,Нефтеюганский,71.25611111111111,60.724444444444444,земли промышленности; земли лесного фонда ,0.032850580000000004,не учитывается,вне акватоий,20.07.2018 08:40
4072,ВНЭ,РН-ЮНГ-ЗПСАЛ-2018-12,т.8 - т.9,Нефтеюганский,71.24888888888889,60.72555555555556,земли лесного фонда ,0.03224441,не учитывается,вне акватоий,24.07.2018 09:00
4073,газовая смесь,РН-ЮНГ-ЗПСАЛ-2018-14,ДНС-ЗС - ЦППН-5 (ПГ-1),Нефтеюганский,71.52166666666666,60.85888888888889,земли лесного фонда ,0.28148806,не учитывается,вне акватоий,16.07.2018 09:10
4074,подтоварная вода,РН-ЮНГ-ЗПСАЛ-2019-1,к.40-к.33,Нефтеюганский,71.2911111111111,60.74111111111111,земли промышленности; земли лесного фонда ,0.0414,не учитывается,вне акватоий,2019-02-18 00:00:00
4075,Нефть,РН-ЮНГ-ЗПСАЛ-2019-2,к.37-т.7,Нефтеюганский,71.20722222222223,60.72416666666667,земли лесного фонда ,0.0207,не учитывается,вне акватоий,2019-02-25 00:00:00
4076,подтоварная вода,РН-ЮНГ-ЗПСАЛ-2019-3,КНС-17-т.3,Нефтеюганский,71.22111111111111,60.73833333333334,земли лесного фонда,0.1006,не учитывается,вне акватоий,2019-03-21 00:00:00
4077,Нефть,РН-ЮНГ-ЗПСАЛ-2019-4,к.36-т.5,Нефтеюганский,71.17750000000001,60.724444444444444,земли лесного фонда ,0.0973,не учитывается,вне акватоий,2019-04-13 00:00:00
4078,подтоварная вода,РН-ЮНГ-ЗПСАЛ-2019-5,т.9 – т.8,Нефтеюганский,71.2575,60.724444444444444,земли лесного фонда ,0.0111,не учитывается,вне акватоий,2019-04-30 00:00:00
4079,Нефть,РН-ЮНГ-ЗПСАЛ-2019-6,к.30-т.14,Нефтеюганский,71.2063888888889,60.74166666666667,земли промышленности; земли лесного фонда ,0.0348,не учитывается,вне акватоий,2019-07-10 00:00:00
